id;fecha;valor_compra;valor_venta;activo
1;2026-03-24T23:00:52;18921.52;3627.67;false
2;2026-03-25T11:17:11;13188.49;15616.63;false
3;2026-03-24T21:26:00;27864.97;32113.34;true
4;2026-03-25T18:30:25;26595.22;26869.82;false
5;2026-03-25T07:59:44;15196.07;26783.55;true
6;2026-03-25T11:12:13;19063.53;1780.03;false
7;2026-03-25T11:37:07;30585.59;30724.53;true
8;2026-03-25T11:51:49;26772.17;25014.66;false
9;2026-03-25T09:26:04;20486.31;26096.35;false
10;2026-03-25T12:36:54;3275.84;6509.9;false
11;2026-03-25T04:43:15;261.02;6173.65;false
12;2026-03-25T17:22:47;18121.35;3830.8;true
13;2026-03-25T10:44:12;11448.8;13172.33;false
14;2026-03-25T06:56:29;8464.39;10101.63;true
15;2026-03-25T10:05:44;28187.38;22686.17;false
16;2026-03-25T02:22:57;24506.49;21519.4;false
17;2026-03-25T04:54:37;13145.94;6349.74;true
18;2026-03-25T19:53:15;32013.34;8053.34;true
19;2026-03-24T23:11:22;4604.49;16861.99;false
20;2026-03-25T04:30:18;16038.86;7807.91;false
21;2026-03-25T15:41:36;17933.37;19165.39;true
22;2026-03-25T18:58:01;19246.54;32472.69;false
23;2026-03-25T04:24:33;13295.62;5522.44;true
24;2026-03-25T16:44:16;20066.96;30332.23;false
25;2026-03-25T17:49:33;13051.29;3263.57;false
26;2026-03-25T08:02:08;19130.9;18578.72;true
27;2026-03-24T20:08:03;13424.32;28302.97;true
28;2026-03-25T15:37:26;18719.09;11088.53;false
29;2026-03-24T21:59:45;18690.61;19339.85;false
30;2026-03-24T22:13:06;13964.98;23292.3;true
